codigo_municipio,municipio,mes_referencia,internacoes
350010,ADAMANTINA,2025-01-01,414
350030,AGUAI,2025-01-01,55
350050,AGUAS DE LINDOIA,2025-01-01,106
350070,AGUDOS,2025-01-01,92
350100,ALTINOPOLIS,2025-01-01,170
350110,ALTO ALEGRE,2025-01-01,9
350130,ALVARES MACHADO,2025-01-01,61
350160,AMERICANA,2025-01-01,699
350170,AMERICO BRASILIENSE,2025-01-01,524
350190,AMPARO,2025-01-01,487
350210,ANDRADINA,2025-01-01,312
350220,ANGATUBA,2025-01-01,124
350250,APARECIDA,2025-01-01,302
350260,APARECIDA D'OESTE,2025-01-01,22
350270,APIAI,2025-01-01,239
350280,ARACATUBA,2025-01-01,1752
350310,ARANDU,2025-01-01,10
350320,ARARAQUARA,2025-01-01,1866
350330,ARARAS,2025-01-01,452
350340,AREALVA,2025-01-01,16
350390,ARUJA,2025-01-01,181
350400,ASSIS,2025-01-01,742
350410,ATIBAIA,2025-01-01,301
350420,AURIFLAMA,2025-01-01,240
350450,AVARE,2025-01-01,620
350520,BARIRI,2025-01-01,131
350530,BARRA BONITA,2025-01-01,181
350550,BARRETOS,2025-01-01,2760
350570,BARUERI,2025-01-01,2563
350580,BASTOS,2025-01-01,115
350590,BATATAIS,2025-01-01,329
350600,BAURU,2025-01-01,3209
350610,BEBEDOURO,2025-01-01,703
350630,BERNARDINO DE CAMPOS,2025-01-01,61
350635,BERTIOGA,2025-01-01,278
350640,BILAC,2025-01-01,36
350650,BIRIGUI,2025-01-01,374
350670,BOA ESPERANCA DO SUL,2025-01-01,4
350680,BOCAINA,2025-01-01,12
350700,BOITUVA,2025-01-01,157
350710,BOM JESUS DOS PERDOES,2025-01-01,13
350740,BORBOREMA,2025-01-01,60
350750,BOTUCATU,2025-01-01,2360
350760,BRAGANCA PAULISTA,2025-01-01,1587
350790,BROTAS,2025-01-01,47
350810,BURITAMA,2025-01-01,69
350840,CABREUVA,2025-01-01,67
350850,CACAPAVA,2025-01-01,299
350870,CACONDE,2025-01-01,87
350880,CAFELANDIA,2025-01-01,99
350900,CAIEIRAS,2025-01-01,264
350920,CAJAMAR,2025-01-01,230
350930,CAJOBI,2025-01-01,35
350940,CAJURU,2025-01-01,310
350950,CAMPINAS,2025-01-01,7606
350960,CAMPO LIMPO PAULISTA,2025-01-01,368
350970,CAMPOS DO JORDAO,2025-01-01,227
351000,CANDIDO MOTA,2025-01-01,159
351020,CAPAO BONITO,2025-01-01,186
351040,CAPIVARI,2025-01-01,221
351050,CARAGUATATUBA,2025-01-01,1841
351060,CARAPICUIBA,2025-01-01,1518
351070,CARDOSO,2025-01-01,29
351080,CASA BRANCA,2025-01-01,163
351100,CASTILHO,2025-01-01,108
351110,CATANDUVA,2025-01-01,1277
351140,CERQUEIRA CESAR,2025-01-01,124
