 Procedimentos hospitalares do SUS - por local de internação - São Paulo
Internações por Município e Ano/mês processamento
Período:2025
"Município";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"Total"
"350010 ADAMANTINA";414;403;431;457;519;451;477;441;470;485;420;425;5393
"350030 AGUAI";55;40;51;55;68;60;36;39;43;25;25;38;535
"350050 AGUAS DE LINDOIA";106;93;82;103;113;81;113;102;89;107;101;111;1201
"350070 AGUDOS";92;112;108;123;109;114;100;101;107;101;83;73;1223
"350100 ALTINOPOLIS";170;146;173;190;209;176;183;152;166;195;144;141;2045
"350110 ALTO ALEGRE";9;7;17;15;12;10;3;-;7;5;1;-;86
"350130 ALVARES MACHADO";61;64;83;85;65;59;58;79;62;62;61;69;808
"350160 AMERICANA";699;822;869;829;925;800;959;923;832;801;698;644;9801
"350170 AMERICO BRASILIENSE";524;556;594;625;610;516;583;511;539;680;597;366;6701
"350190 AMPARO";487;489;484;395;403;421;418;416;330;414;386;370;5013
"350210 ANDRADINA";312;256;272;267;330;269;330;314;263;251;278;274;3416
"350220 ANGATUBA";124;138;135;186;181;201;153;163;172;137;134;99;1823
"350250 APARECIDA";302;362;322;373;258;502;397;379;407;436;594;517;4849
"350260 APARECIDA D'OESTE";22;9;9;2;6;9;6;8;6;3;5;9;94
"350270 APIAI";239;226;240;246;362;288;298;267;282;292;299;325;3364
"350280 ARACATUBA";1752;1222;1194;1241;1285;1054;1176;1198;1254;1236;982;989;14583
"350310 ARANDU";10;3;8;10;8;7;8;11;12;10;9;8;104
"350320 ARARAQUARA";1866;1589;1683;1722;1698;1507;1745;1779;1890;1803;1973;1614;20869
"350330 ARARAS";452;524;549;702;698;605;602;596;607;689;647;692;7363
"350340 AREALVA";16;18;18;29;22;31;24;23;26;19;17;17;260
"350390 ARUJA";181;121;139;-;-;-;-;-;-;-;-;-;441
"350400 ASSIS";742;788;892;868;1013;943;974;952;830;994;852;895;10743
"350410 ATIBAIA";301;352;389;439;411;409;415;405;339;336;379;360;4535
"350420 AURIFLAMA";240;263;243;236;222;197;211;209;183;211;215;278;2708
"350450 AVARE";620;618;619;612;607;681;733;695;648;579;600;582;7594
"350520 BARIRI";131;144;169;176;173;158;189;202;214;213;153;173;2095
"350530 BARRA BONITA";181;157;159;179;210;210;214;205;183;184;161;163;2206
"350550 BARRETOS";2760;2511;2735;2658;2686;2682;2604;2892;2877;2633;2930;2687;32655
"350570 BARUERI";2563;2552;3267;3407;3866;3165;3296;3452;3430;3659;3215;3008;38880
"350580 BASTOS";115;99;121;128;136;116;122;96;80;83;91;98;1285
"350590 BATATAIS";329;340;397;374;431;368;331;363;308;310;275;301;4127
"350600 BAURU";3209;3251;3394;3505;3585;3162;3442;3550;3480;3808;3637;3731;41754
"350610 BEBEDOURO";703;707;777;805;862;689;786;767;720;786;704;638;8944
"350630 BERNARDINO DE CAMPOS";61;66;88;57;66;63;62;78;65;72;59;59;796
"350635 BERTIOGA";278;255;277;272;301;274;284;269;287;316;300;250;3363
"350640 BILAC";36;27;22;17;14;16;19;22;22;23;15;17;250
"350650 BIRIGUI";374;352;419;390;424;402;417;417;416;416;416;417;4860
"350670 BOA ESPERANCA DO SUL";4;1;3;2;5;3;12;11;8;8;17;16;90
"350680 BOCAINA";12;13;12;12;14;13;15;12;15;16;10;7;151
"350700 BOITUVA";157;187;206;180;229;197;207;202;191;193;160;152;2261
"350710 BOM JESUS DOS PERDOES";13;14;11;14;14;24;21;24;13;14;16;18;196
"350740 BORBOREMA";60;68;74;83;66;73;64;76;75;66;83;90;878
"350750 BOTUCATU";2360;2300;2371;2164;2773;2423;2518;2641;2532;2651;2629;2437;29799
"350760 BRAGANCA PAULISTA";1587;1515;1590;1507;1616;1473;1656;1576;1635;1522;1449;1310;18436
"350790 BROTAS";47;62;64;78;84;80;71;64;56;49;43;52;750
"350810 BURITAMA";69;100;99;105;116;101;115;134;119;152;109;120;1339
"350840 CABREUVA";67;64;74;57;-;93;64;29;30;-;94;234;806
"350850 CACAPAVA";299;142;199;131;59;293;305;549;386;301;326;267;3257
"350870 CACONDE";87;101;143;154;205;109;186;177;188;165;173;124;1812
"350880 CAFELANDIA";99;98;95;103;94;89;95;88;71;60;78;65;1035
"350900 CAIEIRAS";264;435;416;396;409;358;426;438;389;402;361;419;4713
"350920 CAJAMAR";230;297;330;283;348;303;233;256;304;250;300;306;3440
"350930 CAJOBI";35;54;59;35;63;63;49;50;47;42;31;28;556
"350940 CAJURU";310;330;297;297;323;301;290;300;274;278;250;249;3499
"350950 CAMPINAS";7606;7392;6941;7103;8053;7098;7881;7375;7786;7808;7443;6507;88993
"350960 CAMPO LIMPO PAULISTA";368;355;406;363;369;291;362;307;317;344;300;353;4135
"350970 CAMPOS DO JORDAO";227;238;264;230;224;223;240;252;212;236;235;214;2795
"351000 CANDIDO MOTA";159;198;213;190;197;204;232;167;259;201;172;173;2365
"351020 CAPAO BONITO";186;197;235;233;247;270;260;234;249;258;229;267;2865
"351040 CAPIVARI";221;151;266;254;190;185;234;264;223;316;186;206;2696
"351050 CARAGUATATUBA";1841;1777;1951;1916;2031;1918;1879;2106;1874;2170;1973;1788;23224
"351060 CARAPICUIBA";1518;1566;1636;1585;1585;1453;1486;1382;791;1667;1325;1456;17450
"351070 CARDOSO";29;58;49;39;56;44;37;30;46;35;39;32;494
"351080 CASA BRANCA";163;128;199;211;201;200;230;197;189;226;190;211;2345
"351100 CASTILHO";108;104;109;99;110;95;78;122;92;121;84;75;1197
"351110 CATANDUVA";1277;1532;1785;1554;1568;1540;1576;1514;1635;1579;1259;1647;18466
"351140 CERQUEIRA CESAR";124;131;158;163;143;166;149;132;127;147;106;126;1672
"351150 CERQUILHO";50;50;62;33;47;138;28;69;90;51;151;99;868
"351160 CESARIO LANGE";28;48;27;27;54;58;45;42;46;50;55;44;524
"351170 CHARQUEADA";22;20;24;17;27;27;36;27;26;18;27;23;294
"351190 CLEMENTINA";27;31;22;21;39;34;25;14;24;27;16;14;294
"351200 COLINA";76;89;92;98;102;83;97;84;88;114;72;81;1076
"351210 COLOMBIA";4;2;2;3;2;-;6;3;3;1;6;3;35
"351220 CONCHAL";130;155;179;198;202;208;192;218;185;318;333;233;2551
"351230 CONCHAS";43;54;54;32;24;32;36;24;24;21;20;16;380
"351280 COSMOPOLIS";144;125;146;159;148;153;138;179;152;140;160;154;1798
"351300 COTIA";1135;1090;1158;1110;1212;1187;1104;1187;768;1413;1025;1195;13584
"351310 CRAVINHOS";32;27;26;38;38;31;33;31;36;32;19;15;358
"351340 CRUZEIRO";425;457;488;512;524;530;454;485;443;482;457;499;5756
"351350 CUBATAO";520;459;529;507;578;576;558;539;565;575;547;583;6536
"351360 CUNHA";112;123;105;118;125;140;122;116;110;129;105;119;1424
"351370 DESCALVADO";142;166;192;145;159;127;154;122;183;145;150;147;1832
"351380 DIADEMA";1746;1874;1894;1795;1900;1951;2029;2189;1892;1870;1790;1863;22793
"351390 DIVINOLANDIA";384;368;397;435;443;398;466;422;379;429;370;264;4755
"351410 DOIS CORREGOS";61;75;96;89;112;110;130;125;108;79;105;119;1209
"351440 DRACENA";316;240;269;290;339;290;290;252;277;250;264;281;3358
"351450 DUARTINA";271;116;152;137;162;128;142;152;121;136;106;133;1756
"351500 EMBU DAS ARTES";239;216;262;318;178;259;318;431;311;275;321;216;3344
"351510 EMBU-GUACU";92;96;102;86;122;98;100;104;107;100;109;107;1223
"351518 ESPIRITO SANTO DO PINHAL";333;326;317;380;380;347;353;396;349;394;391;389;4355
"351520 ESTRELA D'OESTE";97;75;65;81;83;68;75;57;69;68;57;43;838
"351540 FARTURA";62;62;86;81;69;78;75;81;75;110;109;107;995
"351550 FERNANDOPOLIS";536;502;491;471;572;534;601;575;611;541;756;538;6728
"351570 FERRAZ DE VASCONCELOS";640;562;367;665;562;564;782;662;674;938;807;452;7675
"351600 FLORIDA PAULISTA";97;79;82;71;61;75;76;82;76;82;89;89;959
"351620 FRANCA";1964;1871;1996;2069;2117;1972;2054;2134;2167;2223;1998;2044;24609
"351630 FRANCISCO MORATO";976;1032;1159;1078;1204;999;1009;1296;914;1358;1138;1246;13409
"351640 FRANCO DA ROCHA";638;661;680;743;705;726;747;745;649;712;746;701;8453
"351660 GALIA";3;8;14;12;8;13;19;10;13;12;15;17;144
"351670 GARCA";253;273;292;254;267;265;265;276;223;233;211;207;3019
"351690 GENERAL SALGADO";64;58;52;40;50;39;44;49;32;31;27;31;517
"351700 GETULINA";23;29;25;27;33;40;39;38;39;32;25;23;373
"351740 GUAIRA";191;262;300;327;284;299;308;301;306;274;285;321;3458
"351760 GUAPIARA";20;21;7;20;16;27;19;25;25;32;29;16;257
"351770 GUARA";71;74;85;78;78;78;79;66;74;77;62;97;919
"351780 GUARACAI";66;56;42;43;65;36;49;40;53;42;41;43;576
"351820 GUARARAPES";133;147;124;134;164;151;141;145;129;155;121;123;1667
"351830 GUARAREMA";86;80;110;86;127;99;116;128;134;124;104;138;1332
"351840 GUARATINGUETA";497;467;532;517;523;586;631;575;530;532;526;441;6357
"351860 GUARIBA";96;118;153;139;143;134;116;105;115;121;107;113;1460
"351870 GUARUJA";1295;1107;1091;1123;1207;1168;1161;1120;1088;1147;1037;1107;13651
"351880 GUARULHOS";4501;4266;4700;5169;5200;4450;5118;4697;5011;5297;4353;4371;57133
"351900 HERCULANDIA";64;67;76;78;91;56;68;80;34;62;39;61;776
"351907 HORTOLANDIA";576;515;428;442;473;438;468;610;474;460;443;485;5812
"351910 IACANGA";19;58;53;78;97;78;77;73;80;47;62;38;760
"351930 IBATE";88;79;94;71;110;104;86;81;83;74;78;78;1026
"351940 IBIRA";100;33;55;24;30;27;34;39;33;30;34;33;472
"351960 IBITINGA";226;320;370;398;486;478;478;498;377;389;358;392;4770
"351970 IBIUNA";320;323;406;405;400;346;349;385;404;401;334;285;4358
"351990 IEPE";62;47;71;62;88;63;76;67;62;63;46;55;762
"352010 IGARAPAVA";97;98;101;106;118;134;129;133;132;138;111;107;1404
"352040 ILHABELA";326;254;272;325;348;276;296;265;279;259;222;219;3341
"352044 ILHA SOLTEIRA";184;206;221;209;234;209;264;250;262;281;203;218;2741
"352050 INDAIATUBA";1987;1743;1913;1940;2268;1825;1950;1962;1914;1990;1872;1753;23117
"352070 INDIAPORA";41;19;27;32;37;29;33;29;24;42;28;27;368
"352090 IPAUSSU";50;47;76;49;63;71;62;83;96;61;44;59;761
"352130 IPUA";57;84;78;77;75;87;104;91;107;89;89;85;1023
"352170 ITABERA";69;84;103;73;153;119;102;73;103;118;105;89;1191
"352180 ITAI";22;79;70;62;75;111;84;75;103;89;69;100;939
"352190 ITAJOBI";64;73;87;62;66;83;73;82;64;48;48;47;797
"352210 ITANHAEM";1102;974;986;1061;973;840;877;1116;1008;1019;956;1008;11920
"352220 ITAPECERICA DA SERRA";1375;1274;1461;1468;1449;1425;1518;848;1466;2175;1356;1412;17227
"352230 ITAPETININGA";830;780;896;910;938;887;945;885;857;859;830;819;10436
"352240 ITAPEVA";719;754;824;692;880;878;874;789;728;907;919;788;9752
"352250 ITAPEVI";1327;1194;1378;1445;1565;1356;1463;1393;1360;1337;1236;1245;16299
"352260 ITAPIRA";578;566;605;625;614;569;553;569;493;517;472;523;6684
"352270 ITAPOLIS";215;273;269;295;316;297;288;293;297;284;296;246;3369
"352280 ITAPORANGA";90;103;93;92;106;108;111;85;98;97;79;106;1168
"352290 ITAPUI";11;14;19;8;-;-;12;-;-;-;-;-;64
"352310 ITAQUAQUECETUBA";1233;1133;1366;1197;1323;1156;1278;1208;1322;1213;1229;1234;14892
"352320 ITARARE";287;314;282;294;319;302;366;331;328;348;330;357;3858
"352340 ITATIBA";504;418;498;458;540;490;553;618;552;581;557;716;6485
"352350 ITATINGA";27;27;39;35;24;23;27;36;27;27;14;20;326
"352360 ITIRAPINA";12;10;11;13;17;17;13;8;10;12;8;7;138
"352390 ITU";742;733;802;864;833;762;764;776;719;694;670;630;8989
"352400 ITUPEVA";153;191;216;179;205;191;204;180;179;181;187;100;2166
"352410 ITUVERAVA";294;282;282;337;354;308;342;392;345;356;278;276;3846
"352420 JABORANDI";1;6;2;4;7;3;3;3;7;7;2;6;51
"352430 JABOTICABAL";193;185;204;189;195;166;181;156;194;182;184;154;2183
"352440 JACAREI";1074;1055;1165;1156;1200;1183;1206;1332;1215;1311;1149;1161;14207
"352450 JACI";63;80;56;80;52;53;64;59;58;59;54;43;721
"352470 JAGUARIUNA";230;273;302;350;360;404;390;333;319;330;331;288;3910
"352480 JALES";762;678;731;724;735;717;801;704;719;735;579;806;8691
"352520 JARINU";54;57;59;80;66;43;56;59;55;49;43;51;672
"352530 JAU";2253;2094;2218;2287;2451;2308;2299;2167;2361;2481;2222;2190;27331
"352550 JOANOPOLIS";19;20;12;18;27;17;12;14;16;16;23;23;217
"352570 JOSE BONIFACIO";194;252;191;149;225;180;184;191;193;201;200;195;2355
"352590 JUNDIAI";3552;3617;3868;3531;3939;3584;3689;3430;3582;3468;3151;2887;42298
"352600 JUNQUEIROPOLIS";80;93;112;98;116;101;98;101;119;116;84;102;1220
"352640 LARANJAL PAULISTA";127;141;153;141;-;123;136;129;115;119;135;142;1461
"352670 LEME";471;424;434;516;523;507;456;475;442;472;449;472;5641
"352680 LENCOIS PAULISTA";225;209;220;241;237;214;235;240;231;274;270;260;2856
"352690 LIMEIRA";1238;1336;1312;1363;1471;1341;1454;1373;1331;1469;1287;1277;16252
"352710 LINS";554;557;562;625;567;612;663;608;689;724;636;667;7464
"352720 LORENA";414;421;440;421;455;405;431;429;402;386;313;405;4922
"352730 LOUVEIRA";218;184;224;257;241;226;222;239;205;208;204;232;2660
"352740 LUCELIA";50;43;67;73;60;52;57;63;59;47;57;51;679
